symbol,timeframe,rows,first_datetime,last_datetime,output_file
XAUUSD,M1,5950512,2009-03-15 17:00:00,2026-03-13 15:58:00,C:\Data\Bot\Local_LLM\dataset\tf\XAUUSD_M1.csv
XAUUSD,M2,2991664,2009-03-15 17:00:00,2026-03-13 15:58:00,C:\Data\Bot\Local_LLM\dataset\tf\XAUUSD_M2.csv
XAUUSD,M3,1997261,2009-03-15 17:00:00,2026-03-13 15:57:00,C:\Data\Bot\Local_LLM\dataset\tf\XAUUSD_M3.csv
XAUUSD,M4,1498656,2009-03-15 17:00:00,2026-03-13 15:56:00,C:\Data\Bot\Local_LLM\dataset\tf\XAUUSD_M4.csv
XAUUSD,M5,1199673,2009-03-15 17:00:00,2026-03-13 15:55:00,C:\Data\Bot\Local_LLM\dataset\tf\XAUUSD_M5.csv
XAUUSD,M6,1000034,2009-03-15 17:00:00,2026-03-13 15:54:00,C:\Data\Bot\Local_LLM\dataset\tf\XAUUSD_M6.csv
XAUUSD,M10,600702,2009-03-15 17:00:00,2026-03-13 15:50:00,C:\Data\Bot\Local_LLM\dataset\tf\XAUUSD_M10.csv
XAUUSD,M15,400971,2009-03-15 17:00:00,2026-03-13 15:45:00,C:\Data\Bot\Local_LLM\dataset\tf\XAUUSD_M15.csv
XAUUSD,M30,201029,2009-03-15 17:00:00,2026-03-13 15:30:00,C:\Data\Bot\Local_LLM\dataset\tf\XAUUSD_M30.csv
XAUUSD,H1,101113,2009-03-15 17:00:00,2026-03-13 15:00:00,C:\Data\Bot\Local_LLM\dataset\tf\XAUUSD_H1.csv
XAUUSD,H4,27153,2009-03-15 16:00:00,2026-03-13 12:00:00,C:\Data\Bot\Local_LLM\dataset\tf\XAUUSD_H4.csv
XAUUSD,D1,5290,2009-03-15 00:00:00,2026-03-13 00:00:00,C:\Data\Bot\Local_LLM\dataset\tf\XAUUSD_D1.csv
